Time;BestF
0.2344;130369.0000
0.2500;130022.0000
0.2656;129984.0000
0.2812;129502.0000
0.3125;128755.0000
0.3438;128416.0000
0.3438;128407.0000
0.3594;128256.0000
0.4062;128105.0000
0.4062;128062.0000
0.4375;127949.0000
0.4375;127914.0000
0.4688;127811.0000
0.5781;127660.0000
0.5781;127628.0000
0.5781;127618.0000
0.5781;127403.0000
0.5781;127356.0000
0.5781;127329.0000
0.6094;127311.0000
0.6094;127308.0000
0.6250;127214.0000
0.6250;127210.0000
0.6250;127176.0000
0.6250;127125.0000
0.6250;127081.0000
0.6406;127008.0000
0.6406;126984.0000
0.6406;126981.0000
0.6406;126945.0000
0.6406;126899.0000
0.6562;126881.0000
0.6562;126812.0000
0.6562;126777.0000
0.6562;126763.0000
0.6719;126762.0000
0.6719;126750.0000
0.6719;126736.0000
0.6875;126720.0000
0.6875;126658.0000
0.6875;126630.0000
0.6875;126621.0000
0.6875;126618.0000
0.6875;126613.0000
0.6875;126527.0000
0.6875;126506.0000
0.7031;126487.0000
0.7031;126461.0000
0.7031;126455.0000
0.7031;126454.0000
0.7031;126443.0000
0.7188;126389.0000
0.7188;126384.0000
0.7188;126378.0000
0.7344;126347.0000
0.7656;126335.0000
0.8125;126286.0000
0.8125;126270.0000
0.8125;126264.0000
0.8125;126224.0000
0.8125;126221.0000
0.9062;126209.0000
0.9062;126201.0000
0.9219;126190.0000
0.9219;126182.0000
0.9375;126179.0000
0.9375;126177.0000
0.9375;126150.0000
0.9375;126149.0000
0.9531;126142.0000
0.9688;126129.0000
1.0000;126116.0000
1.0000;126112.0000
1.0000;126081.0000
1.0156;126077.0000
1.0312;126040.0000
1.0469;126021.0000
1.0469;126020.0000
1.0469;125984.0000
1.0625;125978.0000
1.0781;125974.0000
1.0781;125963.0000
1.0938;125950.0000
1.0938;125947.0000
1.1094;125934.0000
1.1250;125903.0000
1.1250;125896.0000
1.1406;125886.0000
1.1562;125843.0000
1.1562;125838.0000
1.1719;125806.0000
1.1875;125798.0000
1.1875;125777.0000
1.2188;125775.0000
1.2188;125758.0000
1.2344;125735.0000
1.2344;125722.0000
1.2344;125710.0000
1.2344;125707.0000
1.2344;125706.0000
1.2344;125696.0000
1.2344;125695.0000
1.2344;125684.0000
1.2500;125679.0000
1.2656;125646.0000
1.2812;125639.0000
1.2969;125637.0000
1.2969;125630.0000
1.3125;125597.0000
1.3281;125571.0000
1.3281;125568.0000
1.3750;125559.0000
1.4062;125546.0000
1.4062;125542.0000
1.4062;125540.0000
1.4062;125539.0000
1.4531;125537.0000
1.4531;125535.0000
1.4844;125530.0000
1.4844;125528.0000
1.5156;125522.0000
1.5156;125519.0000
1.5156;125517.0000
1.5625;125508.0000
1.5938;125506.0000
1.5938;125501.0000
1.6094;125499.0000
1.6094;125464.0000
1.6562;125448.0000
1.6719;125447.0000
1.6875;125443.0000
1.6875;125439.0000
1.7031;125438.0000
1.7031;125432.0000
1.7656;125431.0000
1.7812;125414.0000
1.7969;125413.0000
1.7969;125398.0000
1.8125;125396.0000
1.9062;125383.0000
1.9062;125382.0000
1.9219;125380.0000
1.9375;125376.0000
1.9844;125374.0000
2.0000;125373.0000
2.0156;125372.0000
2.0469;125333.0000
2.0625;125275.0000
2.0625;125270.0000
2.0781;125267.0000
2.1094;125266.0000
2.1250;125252.0000
2.1250;125245.0000
2.1406;125244.0000
2.1562;125241.0000
2.1562;125229.0000
2.1719;125203.0000
2.1719;125202.0000
2.2188;125194.0000
2.3125;125193.0000
2.3594;125144.0000
2.3594;125141.0000
2.3906;125129.0000
2.4844;125117.0000
2.5625;125114.0000
2.7188;125108.0000
2.7188;125104.0000
2.7344;125102.0000
2.8125;125098.0000
2.8594;125096.0000
3.0312;125094.0000
3.0469;125089.0000
3.0625;125085.0000
3.6562;125082.0000
3.6562;125068.0000
3.7188;125066.0000
3.9688;125063.0000
